"","Team","Offensive XG","Defensive XG","Net XG","GP","Wins","Losses","Draws","Goals For","Goals Against","Goal Diff","Points","Offensive Rating","Defensive Rating","Net Rating"
"1","Lama Dog",2.763577299,0.9853840385,1.7781932605,8,7,1,0,28,7,21,21,0.3225847941152,0.7258313281457,1.0484161222609
"2","Bowlero",3.567794725,1.7083986587,1.8593960663,8,5,3,0,34,14,20,15,0.580620397796,0.15503271057772,0.73565310837372
"3","Topa Topa",2.655697513,1.4163300049,1.2393675081,8,6,2,0,26,11,15,18,0.28120400221327,0.34846404283386,0.62966804504713
"4","Ace Rivington",2.748471071,1.5364512225,1.2120198485,8,4,3,1,28,12,16,13,0.31678905256109,0.26374051937968,0.58052957194077
"5","Intake Breathing",1.9309456052,1.4950248158,0.4359207894,8,3,4,1,18,13,5,10,-0.04345628004704,0.29161595331896,0.24815967327192
"6","Valentino’s",1.6297144943,2.3734990054,-0.7437845111,8,4,4,0,14,23,-9,12,-0.2185061046674,-0.18305958749424,-0.40156569216164
"7","Aqua-Flo",1.1347846491,4.368430875,-3.2336462259,8,1,7,0,9,41,-32,3,-0.5923759746611,-0.801474331431,-1.3938503060921
"8","SBSC",0.9825667265,4.507660095,-3.5250933685,8,1,7,0,7,43,-36,3,-0.7442831194634,-0.83355294371,-1.5778360631734
